"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"Count"	"Ontology"
"DG-GCL"	"GO:0060964"	"regulation of gene silencing by miRNA"	"3/595"	"57/11810"	0.553206976764059	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0022904"	"respiratory electron transport chain"	"5/595"	"98/11810"	0.553432079371777	0.941064689012608	0.910076295665868	5	"BP"
"DG-GCL"	"GO:0006417"	"regulation of translation"	"16/595"	"321/11810"	0.554800085608464	0.941064689012608	0.910076295665868	16	"BP"
"DG-GCL"	"GO:0061695"	"transferase complex, transferring phosphorus-containing groups"	"11/619"	"222/12395"	0.554852052697806	0.748789541932219	0.665469489096564	11	"CC"
"DG-GCL"	"GO:0006909"	"phagocytosis"	"7/595"	"139/11810"	0.555466279507823	0.941064689012608	0.910076295665868	7	"BP"
"DG-GCL"	"GO:1902275"	"regulation of chromatin organization"	"7/595"	"139/11810"	0.555466279507823	0.941064689012608	0.910076295665868	7	"BP"
"DG-GCL"	"GO:0015179"	"L-amino acid transmembrane transporter activity"	"2/591"	"36/11561"	0.555868186303866	0.834387403862435	0.777291580183356	2	"MF"
"DG-GCL"	"GO:0016776"	"phosphotransferase activity, phosphate group as acceptor"	"2/591"	"36/11561"	0.555868186303866	0.834387403862435	0.777291580183356	2	"MF"
"DG-GCL"	"GO:0061650"	"ubiquitin-like protein conjugating enzyme activity"	"2/591"	"36/11561"	0.555868186303866	0.834387403862435	0.777291580183356	2	"MF"
"DG-GCL"	"GO:0070405"	"ammonium ion binding"	"2/591"	"36/11561"	0.555868186303866	0.834387403862435	0.777291580183356	2	"MF"
"DG-GCL"	"GO:0006399"	"tRNA metabolic process"	"9/595"	"180/11810"	0.558023082410319	0.941064689012608	0.910076295665868	9	"BP"
"DG-GCL"	"GO:0042113"	"B cell activation"	"6/595"	"119/11810"	0.55850947777991	0.941064689012608	0.910076295665868	6	"BP"
"DG-GCL"	"GO:1903531"	"negative regulation of secretion by cell"	"6/595"	"119/11810"	0.55850947777991	0.941064689012608	0.910076295665868	6	"BP"
"DG-GCL"	"GO:0000794"	"condensed nuclear chromosome"	"3/619"	"58/12395"	0.559022967989159	0.748789541932219	0.665469489096564	3	"CC"
"DG-GCL"	"GO:0015030"	"Cajal body"	"3/619"	"58/12395"	0.559022967989159	0.748789541932219	0.665469489096564	3	"CC"
"DG-GCL"	"GO:0022625"	"cytosolic large ribosomal subunit"	"3/619"	"58/12395"	0.559022967989159	0.748789541932219	0.665469489096564	3	"CC"
"DG-GCL"	"GO:0017171"	"serine hydrolase activity"	"4/591"	"77/11561"	0.559464634173985	0.835526084179063	0.778352342388705	4	"MF"
"DG-GCL"	"GO:0000145"	"exocyst"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0005640"	"nuclear outer membrane"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0005847"	"mRNA cleavage and polyadenylation specificity factor complex"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0034719"	"SMN-Sm protein complex"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0035859"	"Seh1-associated complex"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0044232"	"organelle membrane contact site"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0098831"	"presynaptic active zone cytoplasmic component"	"1/619"	"16/12395"	0.559648930994323	0.748789541932219	0.665469489096564	1	"CC"
"DG-GCL"	"GO:0050851"	"antigen receptor-mediated signaling pathway"	"5/595"	"99/11810"	0.562564589402864	0.941064689012608	0.910076295665868	5	"BP"
"DG-GCL"	"GO:0031103"	"axon regeneration"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0045010"	"actin nucleation"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0051187"	"cofactor catabolic process"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0051785"	"positive regulation of nuclear division"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0051972"	"regulation of telomerase activity"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0071364"	"cellular response to epidermal growth factor stimulus"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0090224"	"regulation of spindle organization"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0097756"	"negative regulation of blood vessel diameter"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:2000378"	"negative regulation of reactive oxygen species metabolic process"	"2/595"	"37/11810"	0.562798544088239	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0000028"	"ribosomal small subunit assembly"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0000132"	"establishment of mitotic spindle orientation"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0002053"	"positive regulation of mesenchymal cell proliferation"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0003171"	"atrioventricular valve development"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0003181"	"atrioventricular valve morphogenesis"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0006658"	"phosphatidylserine metabolic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0009048"	"dosage compensation by inactivation of X chromosome"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0009068"	"aspartate family amino acid catabolic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0010743"	"regulation of macrophage derived foam cell differentiation"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0010758"	"regulation of macrophage chemotaxis"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0010869"	"regulation of receptor biosynthetic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0014850"	"response to muscle activity"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0016075"	"rRNA catabolic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0019184"	"nonribosomal peptide biosynthetic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0021756"	"striatum development"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0021904"	"dorsal/ventral neural tube patterning"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0031293"	"membrane protein intracellular domain proteolysis"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0031958"	"corticosteroid receptor signaling pathway"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0032288"	"myelin assembly"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0032897"	"negative regulation of viral transcription"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0033032"	"regulation of myeloid cell apoptotic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0034105"	"positive regulation of tissue remodeling"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0034471"	"ncRNA 5'-end processing"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0034698"	"response to gonadotropin"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0034975"	"protein folding in endoplasmic reticulum"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0035024"	"negative regulation of Rho protein signal transduction"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0035136"	"forelimb morphogenesis"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0036124"	"histone H3-K9 trimethylation"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0039531"	"regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0043171"	"peptide catabolic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0046337"	"phosphatidylethanolamine metabolic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0050706"	"regulation of interleukin-1 beta secretion"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0055070"	"copper ion homeostasis"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0060330"	"regulation of response to interferon-gamma"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0060334"	"regulation of interferon-gamma-mediated signaling pathway"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0071157"	"negative regulation of cell cycle arrest"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0071243"	"cellular response to arsenic-containing substance"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0071377"	"cellular response to glucagon stimulus"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0071577"	"zinc ion transmembrane transport"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0071786"	"endoplasmic reticulum tubular network organization"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0095500"	"acetylcholine receptor signaling pathway"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0097503"	"sialylation"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1900242"	"regulation of synaptic vesicle endocytosis"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1900363"	"regulation of mRNA polyadenylation"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1901018"	"positive regulation of potassium ion transmembrane transporter activity"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1902003"	"regulation of amyloid-beta formation"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1903306"	"negative regulation of regulated secretory pathway"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1903831"	"signal transduction involved in cellular response to ammonium ion"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1905144"	"response to acetylcholine"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:1905145"	"cellular response to acetylcholine"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:2000108"	"positive regulation of leukocyte apoptotic process"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:2000403"	"positive regulation of lymphocyte migration"	"1/595"	"16/11810"	0.562925210397009	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0070848"	"response to growth factor"	"24/595"	"484/11810"	0.563225133619159	0.941064689012608	0.910076295665868	24	"BP"
"DG-GCL"	"GO:0030295"	"protein kinase activator activity"	"3/591"	"57/11561"	0.563270318096273	0.835526084179063	0.778352342388705	3	"MF"
"DG-GCL"	"GO:0051301"	"cell division"	"22/595"	"444/11810"	0.564468343691098	0.941064689012608	0.910076295665868	22	"BP"
"DG-GCL"	"GO:0019932"	"second-messenger-mediated signaling"	"12/595"	"242/11810"	0.565044568170206	0.941064689012608	0.910076295665868	12	"BP"
"DG-GCL"	"GO:0003333"	"amino acid transmembrane transport"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0006220"	"pyrimidine nucleotide metabolic process"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0016239"	"positive regulation of macroautophagy"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0042058"	"regulation of epidermal growth factor receptor signaling pathway"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0045638"	"negative regulation of myeloid cell differentiation"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0060147"	"regulation of posttranscriptional gene silencing"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0060966"	"regulation of gene silencing by RNA"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:2000117"	"negative regulation of cysteine-type endopeptidase activity"	"3/595"	"58/11810"	0.565123332759926	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0006261"	"DNA-dependent DNA replication"	"6/595"	"120/11810"	0.566789308815973	0.941064689012608	0.910076295665868	6	"BP"
"DG-GCL"	"GO:1904018"	"positive regulation of vasculature development"	"6/595"	"120/11810"	0.566789308815973	0.941064689012608	0.910076295665868	6	"BP"
"DG-GCL"	"GO:2000377"	"regulation of reactive oxygen species metabolic process"	"6/595"	"120/11810"	0.566789308815973	0.941064689012608	0.910076295665868	6	"BP"
"DG-GCL"	"GO:0002250"	"adaptive immune response"	"8/595"	"161/11810"	0.567465493752403	0.941064689012608	0.910076295665868	8	"BP"
"DG-GCL"	"GO:0000280"	"nuclear division"	"14/595"	"283/11810"	0.567565551679405	0.941064689012608	0.910076295665868	14	"BP"
"DG-GCL"	"GO:0008285"	"negative regulation of cell proliferation"	"23/595"	"465/11810"	0.568088084124321	0.941064689012608	0.910076295665868	23	"BP"
"DG-GCL"	"GO:0038061"	"NIK/NF-kappaB signaling"	"4/595"	"79/11810"	0.56824613852396	0.941064689012608	0.910076295665868	4	"BP"
"DG-GCL"	"GO:0048771"	"tissue remodeling"	"4/595"	"79/11810"	0.56824613852396	0.941064689012608	0.910076295665868	4	"BP"
"DG-GCL"	"GO:1903034"	"regulation of response to wounding"	"4/595"	"79/11810"	0.56824613852396	0.941064689012608	0.910076295665868	4	"BP"
"DG-GCL"	"GO:0000339"	"RNA cap binding"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:0008188"	"neuropeptide receptor activity"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:0008373"	"sialyltransferase activity"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:0016881"	"acid-amino acid ligase activity"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:0019239"	"deaminase activity"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:0034979"	"NAD-dependent protein deacetylase activity"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:0050750"	"low-density lipoprotein particle receptor binding"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:1901618"	"organic hydroxy compound transmembrane transporter activity"	"1/591"	"16/11561"	0.568345232576221	0.835526084179063	0.778352342388705	1	"MF"
"DG-GCL"	"GO:0048545"	"response to steroid hormone"	"13/595"	"263/11810"	0.569108961022572	0.941064689012608	0.910076295665868	13	"BP"
"DG-GCL"	"GO:0048598"	"embryonic morphogenesis"	"16/595"	"324/11810"	0.570092402068307	0.941064689012608	0.910076295665868	16	"BP"
"DG-GCL"	"GO:0032200"	"telomere organization"	"7/595"	"141/11810"	0.570780121675154	0.941064689012608	0.910076295665868	7	"BP"
"DG-GCL"	"GO:0000993"	"RNA polymerase II complex binding"	"2/591"	"37/11561"	0.570886069932597	0.835814718402345	0.77862122582399	2	"MF"
"DG-GCL"	"GO:0050661"	"NADP binding"	"2/591"	"37/11561"	0.570886069932597	0.835814718402345	0.77862122582399	2	"MF"
"DG-GCL"	"GO:0030175"	"filopodium"	"4/619"	"80/12395"	0.571194852284615	0.76247257418131	0.677629969405353	4	"CC"
"DG-GCL"	"GO:0006415"	"translational termination"	"5/595"	"100/11810"	0.571602158005947	0.941064689012608	0.910076295665868	5	"BP"
"DG-GCL"	"GO:0055076"	"transition metal ion homeostasis"	"5/595"	"100/11810"	0.571602158005947	0.941064689012608	0.910076295665868	5	"BP"
"DG-GCL"	"GO:0008544"	"epidermis development"	"8/595"	"162/11810"	0.574571051598566	0.941064689012608	0.910076295665868	8	"BP"
"DG-GCL"	"GO:0035303"	"regulation of dephosphorylation"	"8/595"	"162/11810"	0.574571051598566	0.941064689012608	0.910076295665868	8	"BP"
"DG-GCL"	"GO:0042593"	"glucose homeostasis"	"8/595"	"162/11810"	0.574571051598566	0.941064689012608	0.910076295665868	8	"BP"
"DG-GCL"	"GO:1902115"	"regulation of organelle assembly"	"8/595"	"162/11810"	0.574571051598566	0.941064689012608	0.910076295665868	8	"BP"
"DG-GCL"	"GO:0019882"	"antigen processing and presentation"	"6/595"	"121/11810"	0.574993815469569	0.941064689012608	0.910076295665868	6	"BP"
"DG-GCL"	"GO:0007229"	"integrin-mediated signaling pathway"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0015844"	"monoamine transport"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0036465"	"synaptic vesicle recycling"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0046631"	"alpha-beta T cell activation"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0050864"	"regulation of B cell activation"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0120162"	"positive regulation of cold-induced thermogenesis"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:1903426"	"regulation of reactive oxygen species biosynthetic process"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:2000379"	"positive regulation of reactive oxygen species metabolic process"	"3/595"	"59/11810"	0.576843555015414	0.941064689012608	0.910076295665868	3	"BP"
"DG-GCL"	"GO:0002066"	"columnar/cuboidal epithelial cell development"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0003143"	"embryonic heart tube morphogenesis"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0021762"	"substantia nigra development"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0030500"	"regulation of bone mineralization"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0031146"	"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0032527"	"protein exit from endoplasmic reticulum"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0032612"	"interleukin-1 production"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0038066"	"p38MAPK cascade"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0051489"	"regulation of filopodium assembly"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0071300"	"cellular response to retinoic acid"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0072350"	"tricarboxylic acid metabolic process"	"2/595"	"38/11810"	0.577428398376217	0.941064689012608	0.910076295665868	2	"BP"
"DG-GCL"	"GO:0060968"	"regulation of gene silencing"	"4/595"	"80/11810"	0.578300324372769	0.941064689012608	0.910076295665868	4	"BP"
"DG-GCL"	"GO:0030010"	"establishment of cell polarity"	"5/595"	"101/11810"	0.580541967540736	0.941064689012608	0.910076295665868	5	"BP"
"DG-GCL"	"GO:0061351"	"neural precursor cell proliferation"	"5/595"	"101/11810"	0.580541967540736	0.941064689012608	0.910076295665868	5	"BP"
"DG-GCL"	"GO:2001056"	"positive regulation of cysteine-type endopeptidase activity"	"5/595"	"101/11810"	0.580541967540736	0.941064689012608	0.910076295665868	5	"BP"
"DG-GCL"	"GO:0033500"	"carbohydrate homeostasis"	"8/595"	"163/11810"	0.581623250067914	0.941064689012608	0.910076295665868	8	"BP"
"DG-GCL"	"GO:0000176"	"nuclear exosome (RNase complex)"	"1/619"	"17/12395"	0.581668263065938	0.767589625689753	0.682177631281369	1	"CC"
"DG-GCL"	"GO:0005666"	"RNA polymerase III complex"	"1/619"	"17/12395"	0.581668263065938	0.767589625689753	0.682177631281369	1	"CC"
"DG-GCL"	"GO:0016282"	"eukaryotic 43S preinitiation complex"	"1/619"	"17/12395"	0.581668263065938	0.767589625689753	0.682177631281369	1	"CC"
"DG-GCL"	"GO:0016581"	"NuRD complex"	"1/619"	"17/12395"	0.581668263065938	0.767589625689753	0.682177631281369	1	"CC"
"DG-GCL"	"GO:0090545"	"CHD-type complex"	"1/619"	"17/12395"	0.581668263065938	0.767589625689753	0.682177631281369	1	"CC"
"DG-GCL"	"GO:0000077"	"DNA damage checkpoint"	"6/595"	"122/11810"	0.583120725891129	0.941064689012608	0.910076295665868	6	"BP"
"DG-GCL"	"GO:0001522"	"pseudouridine synthesis"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0001569"	"branching involved in blood vessel morphogenesis"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0001580"	"detection of chemical stimulus involved in sensory perception of bitter taste"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0003209"	"cardiac atrium morphogenesis"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0003401"	"axis elongation"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0007095"	"mitotic G2 DNA damage checkpoint"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0008207"	"C21-steroid hormone metabolic process"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0009299"	"mRNA transcription"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0010837"	"regulation of keratinocyte proliferation"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0010954"	"positive regulation of protein processing"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0021515"	"cell differentiation in spinal cord"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0030431"	"sleep"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0030851"	"granulocyte differentiation"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0032366"	"intracellular sterol transport"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0032367"	"intracellular cholesterol transport"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0032800"	"receptor biosynthetic process"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0033687"	"osteoblast proliferation"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0035883"	"enteroendocrine cell differentiation"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0039694"	"viral RNA genome replication"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0045058"	"T cell selection"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
"DG-GCL"	"GO:0045736"	"negative regulation of cyclin-dependent protein serine/threonine kinase activity"	"1/595"	"17/11810"	0.584975363001195	0.941064689012608	0.910076295665868	1	"BP"
